,path_to_rgb,path_to_next_rgb,path_to_depth,path_to_next_depth,euler_x,euler_y,euler_z,x,y,z
0,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.673536713.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.740704787.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.673536713.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.740704787.raw,0.0,-0.0,0.0,0.0,0.0,0.0
1,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.740704787.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.808181586.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.740704787.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.808181586.raw,0.0,-0.0,5.0239160665489706e-05,1.8649623901190182e-05,3.021905902510745e-05,0.0
2,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.808181586.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.874698429.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.808181586.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.874698429.raw,0.0,-0.0,-2.159964215230015e-06,-1.1694426956587733e-05,5.986852577231309e-05,0.0
3,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.874698429.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.941893699.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.874698429.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.941893699.raw,0.0,-0.0,0.0,-1.1102230246251565e-16,2.0036056147532122e-16,0.0
4,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187033.941893699.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.008873724.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187033.941893699.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.008873724.raw,0.0,-0.0,5.9099030620753604e-05,-3.18819688485128e-05,-1.0370152473994365e-05,0.0
5,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.008873724.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.076055544.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.008873724.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.076055544.raw,0.0,-0.0,2.0659665882161534e-05,-6.434162096069507e-05,2.926014033033473e-05,0.0
6,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.076055544.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.143223047.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.076055544.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.143223047.raw,0.0,-0.0,0.0,-1.1102230246251565e-16,-1.48318857196017e-16,0.0
7,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.143223047.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.210450114.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.143223047.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.210450114.raw,0.0,-0.0,-4.6999236337366156e-05,-5.6543478135218095e-06,-3.0067064219848998e-05,0.0
8,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.210450114.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.277627789.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.210450114.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.277627789.raw,0.0,-0.0,9.659842002632258e-06,-5.6649529565744317e-05,-3.065665996105846e-05,0.0
9,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.277627789.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_rgb/1556187034.344858487.jpg,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.277627789.raw,/dbstore/datasets/retail_bot/meetingroom_04_rgbd_ir_imu_pose/./data_depth/1556187034.344858487.raw,0.0,-0.0,0.0,0.0,-1.3357370765021415e-16,0.0
